Risk_Rank,Observation_ID,Risk_Score,Risk_Category,Priority_Level,Recommended_Action,Review_Status,Operational_Response,Planning_Response,Evidence_To_Check,Action_Rationale,Decision_Owner,Human_Approval_Required,Autonomous_Control
1,UCI_TEST_06259,0.98,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
2,UCI_TEST_03582,0.979276016226202,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
3,UCI_TEST_09397,0.9788067706143044,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
4,UCI_TEST_13605,0.9730274926676742,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
5,UCI_TEST_03894,0.9730067777777776,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
6,UCI_TEST_15417,0.9720844895214312,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
7,UCI_TEST_04406,0.9717452633745404,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
8,UCI_TEST_13330,0.9660776022692278,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
9,UCI_TEST_13249,0.965482391290218,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
10,UCI_TEST_04368,0.9590564660652244,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
