Risk_Rank,Observation_ID,Risk_Score,Risk_Score_Pct,Risk_Category,Risk_Band_Order,Priority_Level,Priority_Order,Recommended_Action,Review_Status,Operational_Response,Planning_Response,Evidence_To_Check,Action_Rationale,Decision_Owner,Human_Approval_Required,Human_Review_Flag,Autonomous_Control,Autonomous_Control_Flag
1,UCI_TEST_06259,0.98,98.0,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
2,UCI_TEST_03582,0.979276016226202,97.9276016226202,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
3,UCI_TEST_09397,0.9788067706143044,97.88067706143045,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
4,UCI_TEST_13605,0.9730274926676742,97.30274926676742,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
5,UCI_TEST_03894,0.9730067777777776,97.30067777777775,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
6,UCI_TEST_15417,0.9720844895214312,97.20844895214313,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
7,UCI_TEST_04406,0.9717452633745404,97.17452633745404,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
8,UCI_TEST_13330,0.9660776022692278,96.60776022692278,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
9,UCI_TEST_13249,0.965482391290218,96.5482391290218,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
10,UCI_TEST_04368,0.9590564660652244,95.90564660652244,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
11,UCI_TEST_02801,0.952796888210183,95.27968882101831,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
12,UCI_TEST_00435,0.9513397471018954,95.13397471018953,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
13,UCI_TEST_06982,0.950925225206926,95.0925225206926,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
14,UCI_TEST_01129,0.9456623198915778,94.56623198915779,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
15,UCI_TEST_01278,0.945557929639948,94.5557929639948,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
16,UCI_TEST_15299,0.9450186450120204,94.50186450120204,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
17,UCI_TEST_10760,0.9448807011140518,94.48807011140518,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
18,UCI_TEST_12135,0.939559420722405,93.95594207224049,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
19,UCI_TEST_03423,0.9390582897979566,93.90582897979566,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
20,UCI_TEST_13852,0.9324479259165406,93.24479259165406,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
21,UCI_TEST_11829,0.9323929175179057,93.23929175179056,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
22,UCI_TEST_04269,0.931442743257068,93.1442743257068,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
23,UCI_TEST_14996,0.925301285676716,92.5301285676716,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
24,UCI_TEST_05634,0.9248471732069494,92.48471732069494,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
25,UCI_TEST_12965,0.9246792721340156,92.46792721340155,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
26,UCI_TEST_03364,0.9242738630624048,92.42738630624048,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
27,UCI_TEST_09950,0.9186511356266642,91.86511356266642,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
28,UCI_TEST_09532,0.918459820046658,91.8459820046658,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
29,UCI_TEST_02072,0.9124557521894966,91.24557521894965,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
30,UCI_TEST_09323,0.9120713527311818,91.20713527311818,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
31,UCI_TEST_03989,0.911979690299246,91.1979690299246,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
32,UCI_TEST_06131,0.911872291605805,91.1872291605805,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
33,UCI_TEST_14426,0.9118087989048766,91.18087989048766,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
34,UCI_TEST_06498,0.9116669958837416,91.16669958837416,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
35,UCI_TEST_11533,0.911633005649618,91.1633005649618,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
36,UCI_TEST_09796,0.9114547055029372,91.14547055029372,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
37,UCI_TEST_06228,0.9113897501646862,91.13897501646862,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
38,UCI_TEST_06512,0.906234777777778,90.6234777777778,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
39,UCI_TEST_02285,0.9059625704188894,90.59625704188893,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
40,UCI_TEST_01830,0.9049521991920216,90.49521991920216,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
41,UCI_TEST_06928,0.9049460784284,90.49460784284,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
42,UCI_TEST_14089,0.8930853510532908,89.30853510532909,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
43,UCI_TEST_00729,0.8916984638880907,89.16984638880908,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
44,UCI_TEST_11295,0.8914590653429619,89.14590653429619,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
45,UCI_TEST_10682,0.8911947180425608,89.11947180425608,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
46,UCI_TEST_11621,0.8905903799137633,89.05903799137633,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
47,UCI_TEST_02937,0.8904129812499179,89.04129812499178,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
48,UCI_TEST_12699,0.8851432732327634,88.51432732327635,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
49,UCI_TEST_09622,0.8850277049451504,88.50277049451503,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
50,UCI_TEST_00909,0.8846154131352986,88.46154131352986,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
